,Conventional,Efficient,Alternative
2025,2520.0,1470.0,210.0
2026,2574.70737375293,1545.163054772731,313.64957147433915
2027,2628.616390807246,1619.5377997424068,418.02329745034615
2028,2681.743738541174,1693.1756574723802,523.1518822936437
2029,2734.109356478208,1766.1290055340432,629.0604445802817
2030,2785.736790364278,1838.4511591147398,735.768232969895
2031,2836.6535069238157,1910.1963225032227,843.2884114359091
2032,2886.8911552267887,1981.4195076687306,951.6279297363342
2033,2936.485761025732,2052.176419298535,1060.7874934322322
2034,2985.4778417054563,2122.5233070107306,1170.7616451246088
2035,3033.9124316594744,2192.516786942705,1281.5389649247409
2036,3081.8390109181996,2262.213636436423,1393.1023936405843
2037,3129.311333570881,2331.6705669883318,1505.4296769975929
2038,3176.3871567305328,2400.943981887972,1618.4939237480867
2039,3223.127875207235,2470.089725925952,1732.264265149988
2040,3269.598071359013,2539.1628351201766,1846.706598423003
